,pc1,pc2,pc3,pc4,pc5,delay_type
213,1.7822348885183077,-0.6724410601192714,0.8543273816621709,-0.7150424533143006,-0.8356205528381414,3
214,-1.368124120363867,0.7360797206173636,-0.5283578998810482,1.4945042801136017,-0.6020290851085283,1
217,-1.2612526257383985,5.6923817828378835,-0.2372233943130137,0.2811858460937332,-0.373372568450742,5
218,3.1579259426259703,0.4470722277064612,-0.5254399633495693,-0.18932966524006373,-0.08354698145955321,1
231,-2.8691192342696565,2.472368611554109,1.6614469580694189,1.1169311749167978,0.2105773503908443,5
237,3.17822827550802,-1.758484643562206,-0.4735473727952683,-0.7981215114841181,2.5087790468695053,3
238,-0.10592314714337048,0.7388760911289757,-2.2155003121346355,1.4114873704152398,-1.367872249191273,5
242,-1.9855262065778616,-0.3792093789369551,-2.4375542599758937,0.5016988505273318,-0.4123512237027033,5
254,3.8245433481385516,-1.6752014799360075,0.6511612224823573,-0.2523487543648505,-0.08036324160695603,3
263,-3.0510671526288475,-1.879034452090848,0.6276727005615523,-0.18841926340289908,-1.4651775818679815,5
272,0.20250140350675624,-1.344952334049342,0.06054203108004867,-0.1332657101568567,-0.6136454303338666,3
275,0.24378312442985905,-0.2412508086969092,-0.022331885620652456,0.255587925299478,1.3669200906496688,3
280,-3.0275165329495306,-0.2895017291447445,1.517573694479711,1.9785277511228112,0.19035423544424415,5
284,-2.871089557464236,0.4476548581105384,0.7011366596049702,1.450788440477203,-0.6936570652423762,5
291,-1.4190953473479038,0.05003960114551476,0.01660496934092364,0.37324549940135504,0.8503647237539564,3
293,2.3523923258635744,-1.6495676003040345,0.2459545635626545,0.7536164221783097,-0.6739752561336473,1
304,1.5150103954222849,-1.6820807575490002,0.7059834554076795,0.09500908460613512,-0.7911658178389194,3
307,3.0223881494573126,-1.6599115922700718,0.20201733748807954,-0.980135931159424,0.1907133226815858,1
308,0.2844488289681512,0.9301668732495868,0.7376923835893441,-1.72702961458148,0.275254517390958,1
311,4.058672282612006,0.08997524640230505,-1.0323076504922333,-0.3280216920052723,-0.2523683011820986,1
316,1.500874640100451,-1.477909804658039,-1.2791748577957458,-1.2299354349619191,0.8371130726944472,1
318,-2.3393396661133226,1.1390967946981432,0.3312152065884237,0.9282555790108316,-0.4307102362346463,3
319,-2.6155884175003394,-0.8226645930481512,-1.2311379351875085,-0.8262320096242063,-1.3501982802166217,5
324,-1.253604679067048,-1.5003245864566832,1.0040892239125978,-0.4689112799625746,-1.088643467023812,5
336,-2.2521612232039248,0.5429051160579039,0.8510052749912654,0.6579207072615328,0.4537636321092617,1
342,-2.9760208361468066,2.3431347777497358,-1.5033729108986758,-0.3987295323480853,-1.13536642486189,5
348,-3.083170454732187,0.14025894710902856,1.8731401750383851,-0.8750673156271662,1.26890825566759,1
369,-2.936299263457812,-0.36572850401814017,1.7911523617437917,-0.3881322519985179,-0.7311400744574442,5
370,-2.7732584268068283,4.3980488769969925,-0.6328707894715464,-1.2507639631166314,0.8453572337048875,3
371,-2.820088478723412,1.6033339287541235,-0.440911729578901,-0.498859560394549,-0.3679738984584866,5
377,-3.119974848528335,0.5846083011783463,-1.3832765472876711,-0.4357253691029186,0.183037621311238,5
379,0.7659771290184714,-2.267193706051001,0.5418212578542458,-0.5984039526132053,1.1734250990457509,5
382,0.315428970420725,-0.3023505654945882,-2.5798156431242507,0.7883444020706705,-0.7798739785665068,3
387,2.4107395646089214,1.0861796254674478,-1.7377390808712323,-0.24124976788468336,-0.4317068568378253,1
391,-3.087109073676594,-1.0033079007495591,-1.2728947112287632,0.5469716463212362,-0.8377609604339709,5
395,-0.11202726481682124,-2.2527181805418017,0.5245014799941431,1.3119967004815776,0.2884321634683268,5
404,-3.1002444065600883,-1.1114008723004485,1.243006023496475,0.2635373392074665,0.3835376391047669,3
