,branded_code_share,origin,dest,crs_dep_time,crs_arr_time,crs_elapsed_time,air_time,distance,fl_month,fl_day_of_week,fl_week_of_month,mkt_op_combo,fl_type,m_hist_dep_delay,med_hist_dep_delay,m_hist_arr_delay,med_hist_arr_delay,delay_type
5968,1.2840142592865669,-0.3772586370074207,-0.8922402525783002,1.2247203035601113,1.060218333667683,-0.8497785215507824,-0.8384396522100572,-0.8877500870644252,-1.3474152181309875,-0.9707668356514938,0.6866693844827525,-1.1786369428764136,-0.5201790405599706,1.3497091486056845,0.9274024745630656,1.2799220094460138,1.4283886369104482,1
5989,1.2840142592865669,-1.5948937663473697,0.20634126031153494,-0.8252433782963629,-0.8898018153449148,-0.3471283691129868,-0.2851403111117358,-0.452410599048687,-1.3474152181309875,1.0336858916597589,-0.8423554482411629,0.00812642721635176,-0.5201790405599706,-0.7899247892010476,-0.8290757467849664,-0.8473649790632233,-0.612590160878163,5
5992,1.2840142592865669,-0.10007340431214776,0.21623839105829015,0.8147275671888164,0.8652163187664231,-0.4727909072224357,-0.4695734248111763,-0.4575322400841663,1.0069250311919498,-0.9707668356514938,-0.8423554482411629,-1.2528096535072115,-0.5201790405599706,1.0441051590995971,0.9274024745630656,1.1178843631225217,0.9181439374632954,5
5998,-0.7788075504361053,-0.872232266820408,0.6022264901817458,-0.005257905553773193,-0.10979375573987572,-0.7799660003788663,-0.39863761184985297,-0.5480145650443001,-0.4645376246348862,-0.4696536538236806,1.4511818008447102,-1.5495004960304029,-0.5201790405599706,0.0987545920981276,0.049163363889049516,0.09736938062659524,-0.10234546143101017,2
6017,-0.7788075504361053,0.10781552020930693,1.49296825738972,1.634713039931406,1.6452243783714622,-0.7380784876757167,-0.5972578881415582,-0.6333752489689547,0.12404743769584818,-1.4718800174793067,-0.07784303187920527,1.3432352185707128,-0.5201790405599706,1.100287981169719,0.9274024745630656,0.9459150682901902,0.9181439374632954,1
6023,-0.7788075504361053,0.12761446540182642,-0.8724459910847896,0.6097311990031691,1.2552203485689426,0.6302469272938379,0.5660894444241433,0.7972698136082553,-0.7588301558002534,0.03145952800413263,-1.6068678646031207,-1.5495004960304029,1.6105399745071334,0.8114318365021045,0.9274024745630656,0.9115153397537296,0.9181439374632954,5
6024,1.2840142592865669,1.473942738493152,1.384099819175412,-0.415250641925068,-0.4997977855423952,0.1974092960279584,0.14047456665620378,-0.2885180859133503,-1.641707749296355,0.03145952800413263,-0.07784303187920527,0.00812642721635176,-0.5201790405599706,-0.3455620554437191,0.049163363889049516,-0.4730043018893449,-0.612590160878163,2
6027,-0.7788075504361053,0.5928896774260345,1.4731739958962096,0.19973846263187425,0.2802102740626438,0.3649593468405569,0.4951536314628201,0.3807096760559412,0.7126325000265826,1.0336858916597589,-0.8423554482411629,-0.21439170467604174,1.6105399745071334,0.4055083073369897,0.9274024745630656,0.4768869142822406,0.4078992380161426,3
6030,1.2840142592865669,-0.8821317394166678,-0.050984139104102134,1.4297166717457586,1.6452243783714622,-0.36109087334737006,-0.3418889614807944,-0.32778400051869144,-0.17024509346951902,1.5347990734875725,2.215694217206668,0.6015081122627345,-0.5201790405599706,1.2458224405544869,0.9274024745630656,1.1871956311450869,1.4283886369104482,5
6031,-0.7788075504361053,-1.3474069514408755,-0.8922402525783002,-0.005257905553773193,0.08520825916138408,-0.556565932628735,-0.31351463629626514,-0.6299608216119684,1.3012175623573172,-0.9707668356514938,-0.8423554482411629,-0.4369098365684352,-0.5201790405599706,0.0987545920981276,0.049163363889049516,0.09736938062659524,-0.10234546143101017,1
6039,-0.7788075504361053,-0.5554491437400961,0.018295776123184768,1.634713039931406,-2.6448199494562528,0.4068468595437065,0.6086509322009374,0.5138723429784022,-1.0531226869656207,0.5325727098319458,-0.8423554482411629,-0.4369098365684352,-0.5201790405599706,1.100287981169719,0.9274024745630656,0.9459150682901902,0.9181439374632954,1
6048,1.2840142592865669,-0.8920312120129275,0.7308891898895643,-0.005257905553773193,0.08520825916138408,-0.012028267487789757,0.055351591102615866,-0.26632430809294017,-1.3474152181309875,0.5325727098319458,-1.6068678646031207,1.1207170866783194,-0.5201790405599706,0.0987545920981276,0.049163363889049516,0.09736938062659524,-0.10234546143101017,3
6051,-0.7788075504361053,1.473942738493152,0.12716421433749275,0.4047348308175216,0.2802102740626438,-0.3052408564098372,-0.35607612407305905,-0.3038830090197881,1.0069250311919498,-1.4718800174793067,0.6866693844827525,-0.21439170467604174,-0.5201790405599706,0.5820123553565799,0.9274024745630656,0.6216725166580138,0.4078992380161426,5
6053,-0.7788075504361053,0.7314822937736709,-1.070388606019895,1.0197239353744638,1.060218333667683,-0.7939285046132495,-0.8384396522100572,-0.8058038304967569,-0.7588301558002534,0.03145952800413263,-0.07784303187920527,0.9723716654167236,-0.5201790405599706,1.3007507798896227,0.9274024745630656,1.3921983403842564,1.4283886369104482,3
6059,-0.7788075504361053,-0.8821317394166678,0.7308891898895643,1.4297166717457586,1.6452243783714622,0.15552178332480876,-0.058145709635501364,0.20486666717115287,1.0069250311919498,-1.4718800174793067,1.4511818008447102,0.15647184847794746,1.6105399745071334,1.2458224405544869,0.9274024745630656,1.1871956311450869,1.4283886369104482,1
6066,1.2840142592865669,-0.6346449245101741,1.1564658120000408,1.0197239353744638,0.8652163187664231,-0.5984534453318846,-0.7533166766564694,-0.8382408903881255,-1.0531226869656207,1.5347990734875725,-0.07784303187920527,0.6756808228935323,-0.5201790405599706,1.3007507798896227,0.9274024745630656,1.3921983403842564,1.4283886369104482,3
6067,1.2840142592865669,-0.13967129469718673,-0.0014984853703257704,-0.8252433782963629,-0.6947998004436551,-0.5705284368631182,-0.7958781644332633,-0.7119070781796368,1.3012175623573172,1.0336858916597589,0.6866693844827525,0.7498535335243302,-0.5201790405599706,-0.7899247892010476,-0.8290757467849664,-0.8473649790632233,-0.612590160878163,5
6074,-0.7788075504361053,-0.11987234950466726,0.6517121439155221,1.634713039931406,1.4502223634702025,-0.3331658648786036,-0.07233287222776599,-0.17413476945431328,0.12404743769584818,-1.4718800174793067,0.6866693844827525,0.2306445591087453,-0.5201790405599706,1.100287981169719,0.9274024745630656,0.9459150682901902,0.9181439374632954,5
6078,1.2840142592865669,-0.6940417600877326,0.7308891898895643,0.8147275671888164,1.2552203485689426,0.7279844569345204,1.2186989236683174,0.7989770272867485,-0.7588301558002534,1.5347990734875725,-0.8423554482411629,-1.2528096535072115,-0.5201790405599706,1.0441051590995971,0.9274024745630656,1.1178843631225217,0.9181439374632954,3
6085,1.2840142592865669,1.1868580332016194,-1.5949365355979244,0.19973846263187425,0.08520825916138408,-0.5984534453318846,-0.6540065385106167,-0.7016637961086782,0.12404743769584818,1.5347990734875725,-0.8423554482411629,0.00812642721635176,-0.5201790405599706,0.4055083073369897,0.9274024745630656,0.4768869142822406,0.4078992380161426,5
6087,1.2840142592865669,0.7314822937736709,0.4735637904739272,-1.03023974648201,-0.8898018153449148,-1.0592160850665304,-1.136370066647615,-1.1096878652685271,-0.17024509346951902,1.0336858916597589,-0.8423554482411629,0.8981989547859258,-0.5201790405599706,-1.0613083024028944,-0.8290757467849664,-1.0221252156031304,-1.1228348603253158,5
6113,-0.7788075504361053,0.10781552020930693,0.13706134508424805,-0.005257905553773193,0.4752122889639036,-0.24939083947230434,-0.1858301729658832,0.011951521501433615,0.4183399688612154,-0.4696536538236806,-0.8423554482411629,1.3432352185707128,1.6105399745071334,0.0987545920981276,0.049163363889049516,0.09736938062659524,-0.10234546143101017,1
6119,-0.7788075504361053,-1.5948937663473697,-1.0802857367666503,0.4047348308175216,0.2802102740626438,-0.8637410257851655,-0.8951883025791159,-0.9253087879912733,-0.4645376246348862,1.0336858916597589,-0.07784303187920527,-0.21439170467604174,1.6105399745071334,0.5820123553565799,0.9274024745630656,0.6216725166580138,0.4078992380161426,1
6123,-0.7788075504361053,0.8205775471400087,-0.041087008357346855,-0.005257905553773193,0.08520825916138408,0.4487343722468562,0.665399582569996,0.4848497104440198,0.12404743769584818,0.5325727098319458,-0.07784303187920527,1.3432352185707128,1.6105399745071334,0.0987545920981276,0.049163363889049516,0.09736938062659524,-0.10234546143101017,3
6126,-0.7788075504361053,-0.8821317394166678,0.3449010907661087,-1.6452288510389523,-1.2798058451474343,-0.5984534453318846,-0.5263220751802349,-0.4011941886938944,1.3012175623573172,-0.9707668356514938,-0.8423554482411629,1.3432352185707128,-0.5201790405599706,-1.8017943786546076,-1.7073148574589825,-1.8360959324494528,-1.6330795597724683,1
6127,1.2840142592865669,-1.070221718745603,0.7308891898895643,0.4047348308175216,0.2802102740626438,-0.7660034961444832,-0.7958781644332633,-0.8058038304967569,1.3012175623573172,-0.9707668356514938,0.6866693844827525,-1.2528096535072115,-0.5201790405599706,0.5820123553565799,0.9274024745630656,0.6216725166580138,0.4078992380161426,5
6130,-0.7788075504361053,-1.080121191341863,-0.6349148531626632,-0.005257905553773193,0.08520825916138408,-0.3192033606442204,-0.35607612407305905,-0.4080230434078667,-0.17024509346951902,-0.4696536538236806,-0.07784303187920527,-1.5495004960304029,-0.5201790405599706,0.0987545920981276,0.049163363889049516,0.09736938062659524,-0.10234546143101017,3
6144,-0.7788075504361053,-0.9217296298017068,-0.08067553134436793,0.19973846263187425,0.4752122889639036,-0.24939083947230434,-0.1716430103736186,-0.0221927520684282,-1.3474152181309875,-0.9707668356514938,0.6866693844827525,1.3432352185707128,-0.5201790405599706,0.4055083073369897,0.9274024745630656,0.4768869142822406,0.4078992380161426,1
6149,1.2840142592865669,-0.872232266820408,0.4042838752466403,-0.005257905553773193,-0.10979375573987572,-0.7101534792069503,-0.5830707255492935,-0.5104558641174521,1.0069250311919498,-0.9707668356514938,-1.6068678646031207,-0.9561188109840202,-0.5201790405599706,0.0987545920981276,0.049163363889049516,0.09736938062659524,-0.10234546143101017,1
6151,-0.7788075504361053,0.3751012803083201,0.1073699528439822,-0.005257905553773193,0.08520825916138408,1.3562971474817649,1.5450036632904045,1.2855329256572792,-0.4645376246348862,-1.4718800174793067,0.6866693844827525,1.3432352185707128,-0.5201790405599706,0.0987545920981276,0.049163363889049516,0.09736938062659524,-0.10234546143101017,1
6165,-0.7788075504361053,1.2660538139716973,0.8793461510908933,-1.440232482853305,-1.6698098749499541,0.0577842536841263,0.18303605443299772,0.1280420516389638,-0.17024509346951902,1.0336858916597589,-0.8423554482411629,-1.5495004960304029,-0.5201790405599706,-1.6843755553670576,-1.7073148574589825,-1.638920939517324,-1.6330795597724683,3
6167,1.2840142592865669,0.4542970610783981,0.6022264901817458,0.6097311990031691,0.4752122889639036,-0.12372830136285545,-0.15745584778135396,-0.15876984634787544,0.4183399688612154,0.5325727098319458,-1.6068678646031207,-0.8819461003532223,-0.5201790405599706,0.8114318365021045,0.9274024745630656,0.9115153397537296,0.9181439374632954,1
6168,-0.7788075504361053,0.8799743827175672,1.2554371194675935,-0.005257905553773193,-0.3047957706411355,-0.9475160511914648,-0.7816910018409987,-0.7921461210688121,1.5955100935226842,0.5325727098319458,1.4511818008447102,1.3432352185707128,-0.5201790405599706,0.0987545920981276,0.049163363889049516,0.09736938062659524,-0.10234546143101017,5
